Car_Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Fiesta,1.4,Petrol,1989,361458,183
Ford,Fiesta,1.0,Petrol,1988,336194,185
VW,Golf,2.0,Hybrid,1989,417162,185
Ford,Mondeo,1.6,Petrol,1985,375485,188
Ford,Fiesta,1.2,Petrol,1984,316261,188
Toyota,Yaris,1.2,Hybrid,1989,384099,189
Ford,Fiesta,1.2,Petrol,1986,328681,190
Ford,Fiesta,1.0,Petrol,1988,332898,191
Ford,Focus,1.0,Petrol,1985,347859,196
Ford,Fiesta,1.2,Petrol,1989,345729,197
Ford,Fiesta,1.2,Petrol,1989,344848,199
VW,Polo,1.4,Petrol,1990,360614,202
VW,Polo,1.4,Petrol,1990,360046,203
Ford,Fiesta,1.4,Petrol,1989,350277,204
Toyota,Yaris,1.4,Hybrid,1985,356844,204
Toyota,Yaris,1.0,Petrol,1985,320312,204
VW,Golf,1.2,Hybrid,1988,374252,204
VW,Polo,1.0,Petrol,1985,306527,206
VW,Polo,1.0,Petrol,1986,313490,206
Ford,Fiesta,1.2,Petrol,1985,313352,206
Ford,Focus,2.0,Petrol,1984,369978,209
VW,Polo,1.0,Petrol,1987,318772,210
Toyota,Yaris,1.2,Hybrid,1989,371951,212
Ford,Fiesta,1.2,Petrol,1988,330842,213
VW,Golf,1.2,Petrol,1987,343658,215
Ford,Mondeo,1.8,Diesel,1986,379632,215
Toyota,Yaris,1.0,Hybrid,1985,333071,217
Ford,Fiesta,1.2,Petrol,1984,301208,217
Ford,Fiesta,1.0,Petrol,1988,319318,217
VW,Polo,1.4,Petrol,1989,345497,219
VW,Polo,1.4,Petrol,1987,331157,220
Ford,Fiesta,1.0,Petrol,1986,303383,222
Ford,Fiesta,1.0,Petrol,1987,309749,223
Ford,Focus,1.6,Petrol,1984,351166,225
Toyota,Yaris,1.4,Hybrid,1985,345982,226
VW,Polo,1.2,Petrol,1986,313020,227
VW,Golf,1.2,Diesel,1986,336136,227
Ford,Fiesta,1.4,Petrol,1988,332430,227
VW,Polo,1.2,Petrol,1985,305994,227
VW,Polo,1.4,Diesel,1992,366560,229
Ford,Fiesta,1.0,Petrol,1986,300179,229
Toyota,Yaris,1.0,Petrol,1987,322430,229
Ford,Mondeo,2.0,Diesel,1986,378529,229
VW,Polo,1.0,Petrol,1988,316087,230
Ford,Mondeo,2.0,Petrol,1985,365231,232
Ford,Fiesta,1.0,Petrol,1985,291579,232
Ford,Mondeo,2.0,Diesel,1985,369968,233
VW,Polo,1.2,Petrol,1984,295836,234
Toyota,Yaris,1.4,Petrol,1985,323354,235
Ford,Focus,1.8,Petrol,1986,366468,235
VW,Polo,2.0,Petrol,1984,321660,236
Toyota,RAV4,1.8,Petrol,1984,371517,238
BMW,X3,2.4,Diesel,1984,386079,238
VW,Polo,1.0,Petrol,1991,333121,239
Ford,Fiesta,1.4,Petrol,1992,354199,240
Ford,Fiesta,1.4,Petrol,1986,312138,241
Ford,Fiesta,1.2,Petrol,1990,331928,241
VW,Golf,1.2,Petrol,1988,338055,242
Ford,Fiesta,1.0,Diesel,1987,304880,245
Ford,Fiesta,1.4,Petrol,1990,337956,246
Ford,Focus,1.8,Petrol,1989,381996,246
Toyota,RAV4,1.8,Hybrid,1984,386793,246
Toyota,Prius,1.4,Hybrid,1991,405205,246
VW,Polo,1.2,Petrol,1987,311432,247
Ford,Focus,1.0,Petrol,1984,316171,249
Ford,Focus,1.0,Petrol,1992,371173,249
VW,Polo,1.0,Petrol,1990,321685,249
Toyota,Yaris,1.4,Petrol,1986,324180,249
Ford,Fiesta,1.0,Petrol,1988,304942,250
VW,Polo,2.0,Petrol,1989,349955,251
Toyota,Prius,1.8,Hybrid,1986,381964,251
Ford,Fiesta,1.2,Petrol,1989,320937,251
VW,Polo,1.2,Petrol,1989,323427,251
Ford,Fiesta,1.0,Hybrid,1985,302086,252
Ford,Fiesta,1.2,Petrol,1985,292213,253
VW,Polo,1.4,Petrol,1987,316328,254
Ford,Fiesta,1.2,Petrol,1986,298078,255
Toyota,Prius,1.0,Hybrid,1989,370885,255
Ford,Fiesta,1.0,Petrol,1990,316143,256
BMW,Z4,2.4,Petrol,1989,402743,256
Ford,Fiesta,1.2,Petrol,1985,290376,257
VW,Polo,1.2,Petrol,1991,334993,257
Ford,Fiesta,1.2,Hybrid,1987,323131,258
VW,Polo,1.2,Petrol,1988,313750,258
Ford,Fiesta,1.0,Petrol,1993,335665,259
VW,Polo,1.0,Petrol,1988,302892,261
Ford,Mondeo,1.6,Diesel,1986,353489,261
VW,Polo,2.0,Petrol,1988,338791,262
Toyota,Yaris,1.0,Hybrid,1986,320043,263
Ford,Fiesta,1.0,Petrol,1990,313507,263
VW,Passat,1.4,Diesel,1989,371762,264
VW,Golf,1.2,Petrol,1987,321290,266
Porsche,718 Cayman,2.4,Petrol,1985,390862,266
Ford,Fiesta,1.0,Hybrid,1984,288785,268
VW,Golf,2.0,Petrol,1987,346601,269
Toyota,Yaris,1.0,Petrol,1985,291582,269
VW,Golf,2.0,Petrol,1986,339705,269
VW,Passat,1.4,Diesel,1991,382902,270
Toyota,Yaris,1.0,Hybrid,1989,337707,271
Toyota,RAV4,2.2,Hybrid,1986,400992,271
Toyota,Yaris,1.0,Hybrid,1985,309845,271
VW,Passat,1.8,Petrol,1986,355814,272
Ford,Focus,1.8,Petrol,1993,398984,272
BMW,X3,2.0,Diesel,1986,376756,272
VW,Polo,1.2,Petrol,1986,294369,272
Toyota,Yaris,1.0,Hybrid,1988,329916,273
Ford,Fiesta,1.4,Petrol,1986,299288,273
Ford,Fiesta,1.4,Petrol,1987,306100,273
Toyota,Yaris,1.2,Petrol,1988,320019,274
Ford,Fiesta,1.0,Petrol,1992,322103,276
Ford,Mondeo,1.8,Diesel,1986,352822,279
VW,Golf,1.4,Diesel,1985,315291,280
VW,Golf,1.2,Petrol,1987,316219,280
Ford,Fiesta,1.2,Petrol,1991,323393,280
Ford,Focus,1.8,Petrol,1986,347943,281
Ford,Fiesta,1.4,Petrol,1988,310319,281
VW,Golf,2.0,Petrol,1988,349153,281
Toyota,Yaris,1.4,Petrol,1985,304167,282
VW,Passat,1.8,Diesel,1988,370955,282
VW,Golf,2.0,Petrol,1985,327955,282
VW,Golf,1.4,Petrol,1989,336769,283
Ford,Mondeo,1.8,Diesel,1989,371540,284
Toyota,RAV4,2.2,Hybrid,1989,416143,285
Ford,Mondeo,1.8,Diesel,1989,370903,285
VW,Polo,1.0,Petrol,1990,307339,286
Toyota,Yaris,1.4,Petrol,1987,316594,286
Toyota,RAV4,1.8,Petrol,1987,373499,286
VW,Polo,1.0,Petrol,1988,293041,287
Ford,Fiesta,1.0,Petrol,1986,275958,288
Ford,Mondeo,1.4,Hybrid,1987,357140,288
Ford,Focus,1.8,Petrol,1987,351834,289
Ford,Focus,1.4,Diesel,1984,323289,289
Ford,Fiesta,1.4,Petrol,1987,300368,289
Ford,Mondeo,1.8,Diesel,1988,362799,289
VW,Passat,1.8,Petrol,1985,343007,289
Ford,Fiesta,1.2,Petrol,1989,305950,290
VW,Polo,2.0,Petrol,1984,300318,290
Ford,Focus,1.4,Petrol,1986,331379,291
VW,Polo,1.0,Petrol,1991,311798,293
VW,Passat,1.6,Diesel,1993,395095,293
VW,Passat,1.4,Petrol,1989,355992,293
Ford,Mondeo,1.6,Diesel,1989,361403,295
VW,Passat,1.8,Diesel,1987,358969,297
Ford,Focus,1.4,Petrol,1986,329108,297
Ford,Fiesta,1.0,Petrol,1985,265191,298
VW,Golf,1.2,Petrol,1988,316092,299
Ford,Fiesta,1.4,Hybrid,1987,315655,299
VW,Polo,1.2,Petrol,1988,298420,299
Ford,Fiesta,1.0,Petrol,1988,285782,300
Ford,Fiesta,1.0,Petrol,1989,292756,300
Toyota,Prius,1.0,Hybrid,1988,347306,300
VW,Polo,2.0,Petrol,1987,317629,300
VW,Golf,2.0,Petrol,1986,328327,301
VW,Polo,1.2,Petrol,1986,283090,302
Toyota,Yaris,1.0,Petrol,1986,285954,303
Ford,Focus,1.8,Petrol,1993,387874,304
Ford,Fiesta,1.4,Petrol,1988,302072,304
Toyota,Yaris,1.0,Petrol,1987,292580,304
Toyota,Yaris,1.0,Petrol,1991,320346,305
BMW,Z4,2.0,Petrol,1986,354685,306
VW,Golf,1.2,Petrol,1987,306902,306
Ford,Focus,1.0,Hybrid,1988,340977,307
BMW,Z4,2.4,Petrol,1989,384283,307
VW,Polo,1.0,Petrol,1990,299443,309
Toyota,Yaris,1.4,Petrol,1990,329074,310
Ford,Fiesta,1.0,Petrol,1993,316384,312
Ford,Focus,1.0,Diesel,1986,311482,313
Ford,Fiesta,1.2,Petrol,1984,262201,314
VW,Golf,1.2,Hybrid,1988,329829,315
Ford,Fiesta,1.4,Petrol,1987,291257,315
Ford,Focus,1.4,Petrol,1985,315674,316
Ford,Fiesta,1.0,Petrol,1985,258843,316
VW,Golf,1.6,Petrol,1986,311658,316
Ford,Fiesta,1.0,Hybrid,1988,298754,318
Ford,Fiesta,1.0,Petrol,1991,300524,318
Ford,Focus,1.4,Petrol,1985,314827,319
Ford,Mondeo,1.6,Diesel,1985,325816,319
Ford,Fiesta,1.4,Petrol,1988,296402,320
VW,Polo,1.6,Petrol,1987,299002,321
Ford,Fiesta,1.4,Petrol,1991,317146,321
VW,Golf,1.2,Petrol,1985,287756,321
VW,Polo,1.0,Diesel,1986,272369,321
Ford,Focus,1.8,Petrol,1985,327262,321
VW,Polo,1.2,Petrol,1995,339467,321
VW,Polo,2.0,Petrol,1984,289232,322
VW,Golf,1.4,Petrol,1988,316397,322
VW,Polo,1.0,Petrol,1985,258740,324
Ford,Mondeo,1.6,Diesel,1988,344865,324
Ford,Focus,1.4,Petrol,1987,326998,324
VW,Polo,1.0,Petrol,1990,294287,324
VW,Polo,1.4,Petrol,1994,339215,325
Ford,Mondeo,1.8,Petrol,1985,325163,325
Toyota,Prius,1.0,Hybrid,1987,331960,326
Ford,Fiesta,1.0,Petrol,1994,317754,329
Toyota,Prius,1.4,Hybrid,1994,395906,329
VW,Polo,1.6,Petrol,1990,317183,329
Ford,Fiesta,1.0,Petrol,1994,317531,330
Toyota,Yaris,1.4,Hybrid,1987,320779,330
VW,Polo,1.6,Diesel,1984,279988,330
BMW,M5,5.0,Petrol,1986,453537,331
VW,Passat,1.8,Diesel,1986,340823,331
VW,Polo,1.0,Petrol,1988,277988,331
VW,Golf,1.4,Petrol,1984,285776,331
Ford,Mondeo,1.4,Diesel,1985,314912,332
VW,Polo,2.0,Petrol,1987,307208,332
Toyota,Prius,1.8,Hybrid,1992,393951,333
BMW,X3,2.4,Diesel,1985,358616,333
Ford,Fiesta,1.2,Petrol,1988,284285,333
Ford,Mondeo,1.6,Diesel,1991,362329,334
Ford,Mondeo,1.4,Diesel,1986,320993,334
Ford,Fiesta,1.4,Petrol,1985,270929,334
VW,Passat,1.8,Diesel,1988,353505,334
Toyota,Yaris,1.0,Hybrid,1986,294982,334
Toyota,Yaris,1.0,Hybrid,1986,294507,335
Toyota,RAV4,2.4,Petrol,1989,385147,336
BMW,Z4,2.2,Petrol,1985,343144,336
Ford,Fiesta,1.0,Petrol,1990,287819,336
VW,Polo,1.4,Petrol,1990,307506,338
Ford,Fiesta,1.0,Petrol,1992,301203,338
Toyota,Yaris,1.4,Hybrid,1985,304358,338
Ford,Focus,1.4,Petrol,1986,315196,340
Ford,Fiesta,1.0,Petrol,1989,279323,340
Ford,Fiesta,1.0,Petrol,1992,300279,341
VW,Golf,1.6,Petrol,1985,296646,341
VW,Polo,1.4,Diesel,1986,283325,342
Toyota,Prius,1.4,Hybrid,1986,337267,342
Ford,Focus,1.0,Petrol,1990,324854,342
Ford,Fiesta,1.2,Petrol,1984,252769,342
Toyota,Prius,1.0,Hybrid,1986,319817,342
Ford,Fiesta,1.4,Petrol,1988,289688,342
Ford,Focus,1.0,Diesel,1992,343287,343
Ford,Fiesta,1.0,Petrol,1984,242512,344
Ford,Fiesta,1.2,Petrol,1992,308781,344
VW,Golf,1.4,Petrol,1990,323220,345
Ford,Mondeo,1.4,Diesel,1987,324338,346
Toyota,Yaris,1.0,Hybrid,1989,312137,346
VW,Golf,1.8,Diesel,1985,306168,347
Ford,Focus,1.0,Petrol,1985,288486,347
VW,Golf,1.4,Petrol,1986,294670,347
Ford,Fiesta,1.2,Petrol,1985,258420,347
Toyota,RAV4,2.4,Petrol,1984,347520,348
VW,Polo,1.4,Petrol,1989,297422,348
Toyota,Yaris,1.4,Petrol,1990,316922,349
VW,Golf,1.2,Diesel,1986,290960,350
Ford,Mondeo,1.8,Diesel,1985,321985,351
Ford,Fiesta,1.4,Diesel,1994,333772,351
VW,Polo,1.0,Petrol,1993,306917,351
Ford,Fiesta,1.0,Petrol,1984,240086,351
VW,Golf,1.8,Petrol,1989,327353,352
Ford,Mondeo,2.0,Diesel,1984,320274,352
Ford,Fiesta,1.2,Hybrid,1987,290598,352
VW,Polo,1.0,Petrol,1992,299639,352
VW,Polo,1.2,Petrol,1993,315771,353
VW,Polo,1.0,Petrol,1987,264074,353
Ford,Fiesta,1.4,Diesel,1989,298243,354
VW,Polo,1.2,Petrol,1990,294649,354
Toyota,Prius,1.0,Hybrid,1984,302522,354
VW,Polo,1.4,Petrol,1989,295297,355
Toyota,Yaris,1.4,Petrol,1989,307932,355
VW,Passat,1.6,Petrol,1984,308437,355
Toyota,Prius,1.4,Hybrid,1984,319446,356
Ford,Fiesta,1.4,Petrol,1988,285433,356
Ford,Fiesta,1.0,Petrol,1987,260325,356
VW,Polo,1.4,Petrol,1989,295224,356
Toyota,Yaris,1.0,Petrol,1984,254125,357
VW,Polo,1.6,Petrol,1987,287641,358
Toyota,Prius,1.0,Hybrid,1990,342483,359
Toyota,Yaris,1.4,Hybrid,1988,318837,359
VW,Golf,1.4,Petrol,1988,305223,359
VW,Polo,1.2,Petrol,1988,279026,359
VW,Golf,2.0,Petrol,1986,309630,360
Ford,Fiesta,1.0,Petrol,1988,265882,361
Ford,Focus,1.4,Petrol,1984,294633,362
VW,Golf,1.6,Petrol,1986,297054,363
Ford,Mondeo,1.8,Diesel,1985,318591,363
Ford,Fiesta,1.2,Petrol,1988,275033,363
Ford,Fiesta,1.0,Petrol,1988,265110,364
Toyota,Yaris,1.0,Hybrid,1989,307005,364
Ford,Fiesta,1.0,Petrol,1987,257930,364
Ford,Fiesta,1.4,Petrol,1991,304081,364
Ford,Mondeo,1.8,Petrol,1986,319974,365
Toyota,Yaris,1.4,Hybrid,1991,337853,365
Toyota,Yaris,1.4,Hybrid,1989,323904,366
Ford,Focus,2.0,Petrol,1987,332878,366
Toyota,Yaris,1.0,Petrol,1987,272999,366
VW,Golf,1.2,Petrol,1992,322289,368
Toyota,Yaris,1.2,Hybrid,1984,279567,370
Ford,Fiesta,1.2,Petrol,1990,286989,371
Toyota,Yaris,1.0,Hybrid,1988,298017,371
VW,Polo,1.2,Petrol,1991,296582,371
VW,Polo,1.2,Petrol,1989,282214,372
VW,Polo,1.2,Petrol,1991,296402,372
Ford,Focus,1.6,Diesel,1985,310757,372
VW,Polo,1.0,Petrol,1986,250889,373
Toyota,Yaris,1.2,Hybrid,1985,285951,373
Toyota,Yaris,1.2,Hybrid,1986,292774,374
Ford,Fiesta,1.0,Petrol,1988,262287,374
VW,Polo,1.0,Petrol,1990,279114,374
Ford,Fiesta,1.0,Petrol,1991,283121,375
VW,Passat,1.8,Diesel,1986,327963,375
VW,Polo,1.2,Petrol,1993,309262,376
VW,Golf,1.2,Petrol,1991,313245,376
VW,Passat,2.0,Diesel,1989,353832,376
Ford,Fiesta,1.2,Petrol,1993,306473,376
Ford,Mondeo,1.4,Diesel,1987,315533,377
VW,Passat,1.6,Diesel,1989,341741,378
VW,Passat,1.8,Diesel,1986,327098,378
VW,Polo,1.2,Petrol,1986,258871,379
VW,Golf,2.0,Diesel,1989,330265,379
Ford,Fiesta,1.2,Petrol,1991,291741,379
VW,Polo,1.0,Petrol,1987,256361,379
Ford,Focus,1.0,Petrol,1986,285960,380
VW,Polo,1.6,Petrol,1986,274051,380
VW,Golf,1.2,Petrol,1991,312171,380
Ford,Fiesta,1.2,Petrol,1984,241419,380
VW,Polo,1.2,Petrol,1988,272735,381
VW,Polo,2.0,Petrol,1990,313757,381
Ford,Mondeo,1.8,Diesel,1987,327452,381
Ford,Fiesta,1.4,Petrol,1987,271135,381
Toyota,Prius,1.0,Hybrid,1989,329531,381
Toyota,Yaris,1.4,Petrol,1987,286352,382
VW,Polo,1.2,Petrol,1989,279637,382
Ford,Fiesta,1.2,Petrol,1989,276427,383
Ford,Fiesta,1.2,Petrol,1985,247936,383
VW,Polo,2.0,Petrol,1992,327016,383
Ford,Mondeo,2.0,Diesel,1986,325491,383
Ford,Fiesta,1.4,Petrol,1986,263206,384
Ford,Fiesta,1.2,Petrol,1991,290024,385
Toyota,Prius,1.0,Hybrid,1990,334924,386
Toyota,Prius,1.0,Hybrid,1989,328154,386
Ford,Fiesta,1.2,Petrol,1991,289665,386
Toyota,Yaris,1.4,Petrol,1989,298972,387
Ford,Fiesta,1.2,Petrol,1987,261207,387
Toyota,Yaris,1.2,Hybrid,1986,288762,388
Ford,Focus,1.4,Petrol,1989,322125,388
Ford,Fiesta,1.0,Petrol,1989,265247,388
Ford,Fiesta,1.0,Petrol,1993,293813,388
Ford,Focus,1.4,Petrol,1986,301201,389
VW,Passat,1.6,Diesel,1987,324754,390
VW,Passat,1.8,Diesel,1986,323937,390
Toyota,Prius,1.8,Hybrid,1985,330025,390
Toyota,Prius,1.0,Hybrid,1986,306068,391
VW,Polo,1.0,Petrol,1995,309488,391
VW,Passat,1.8,Diesel,1987,330434,391
Ford,Mondeo,1.4,Diesel,1985,297691,391
VW,Polo,1.6,Diesel,1985,268887,392
VW,Polo,1.0,Petrol,1988,259743,393
Ford,Fiesta,1.0,Petrol,1986,242364,393
Ford,Fiesta,1.4,Petrol,1989,281769,394
VW,Polo,1.0,Petrol,1992,287434,395
Toyota,Yaris,1.4,Petrol,1990,303977,395
Ford,Fiesta,1.2,Petrol,1986,251893,395
VW,Polo,1.0,Petrol,1985,237428,395
Ford,Fiesta,1.0,Petrol,1992,284610,396
VW,Golf,1.6,Diesel,1986,293080,396
VW,Golf,1.6,Petrol,1988,301832,396
Ford,Focus,1.0,Diesel,1988,300685,396
Ford,Focus,1.8,Petrol,1988,326287,396
Toyota,Yaris,1.0,Petrol,1988,271410,397
Ford,Fiesta,1.4,Petrol,1988,273812,397
Ford,Fiesta,1.2,Petrol,1989,272613,397
Toyota,RAV4,1.8,Petrol,1987,339467,398
Toyota,Prius,1.8,Hybrid,1988,348412,398
Ford,Focus,1.4,Diesel,1985,296935,398
VW,Golf,1.2,Petrol,1986,272106,398
Ford,Mondeo,1.6,Diesel,1987,316672,399
Toyota,Prius,1.8,Hybrid,1991,368737,399
VW,Golf,1.2,Hybrid,1990,319196,399
Ford,Mondeo,1.4,Diesel,1990,330339,399
VW,Polo,1.6,Petrol,1990,296959,400
Ford,Mondeo,1.6,Diesel,1987,316183,400
Ford,Fiesta,1.2,Hybrid,1987,276979,400
Ford,Mondeo,2.0,Diesel,1985,313881,401
Toyota,Yaris,1.2,Petrol,1990,294155,401
Toyota,Yaris,1.2,Hybrid,1987,292142,402
VW,Polo,1.0,Petrol,1994,299605,402
Toyota,Prius,1.0,Hybrid,1989,323617,403
VW,Polo,1.4,Petrol,1987,267909,403
VW,Golf,2.0,Petrol,1992,339167,404
VW,Polo,2.0,Petrol,1989,300607,404
VW,Polo,1.4,Petrol,1986,260477,404
Ford,Mondeo,1.8,Diesel,1989,335316,404
Toyota,Prius,1.0,Hybrid,1988,316535,404
VW,Golf,2.0,Petrol,1989,318196,405
Ford,Focus,2.0,Diesel,1988,334479,405
Toyota,Prius,1.8,Hybrid,1985,325733,406
BMW,Z4,2.0,Petrol,1988,339324,406
Toyota,Yaris,1.4,Petrol,1985,265756,406
VW,Golf,1.2,Diesel,1991,310098,407
VW,Golf,1.8,Petrol,1989,311969,408
Ford,Fiesta,1.0,Petrol,1992,281239,408
Toyota,Yaris,1.2,Hybrid,1990,311191,409
VW,Polo,1.2,Petrol,1992,293174,410
VW,Polo,2.0,Petrol,1990,306109,410
Ford,Mondeo,1.4,Hybrid,1987,320424,411
Toyota,Prius,1.4,Hybrid,1986,318316,411
VW,Golf,1.2,Petrol,1986,268513,412
VW,Polo,1.6,Petrol,1992,307757,412
Ford,Fiesta,1.2,Hybrid,1991,301989,412
VW,Polo,1.6,Petrol,1990,293895,412
Toyota,Yaris,1.0,Petrol,1989,274409,413
VW,Polo,1.4,Petrol,1992,300657,413
VW,Polo,1.2,Petrol,1991,285387,413
Ford,Mondeo,1.8,Diesel,1986,311900,414
Ford,Fiesta,1.0,Petrol,1988,251316,414
VW,Golf,1.4,Petrol,1985,269090,414
VW,Polo,1.2,Petrol,1990,277770,415
Ford,Fiesta,1.0,Petrol,1993,286577,415
Ford,Mondeo,1.6,Diesel,1987,312305,416
Toyota,Yaris,1.4,Hybrid,1992,331468,416
VW,Polo,1.6,Petrol,1986,264257,417
Toyota,Yaris,1.0,Petrol,1989,272969,418
Ford,Fiesta,1.4,Petrol,1989,275414,418
VW,Golf,2.0,Diesel,1985,292055,418
VW,Golf,1.8,Petrol,1990,316038,419
Ford,Fiesta,1.2,Petrol,1998,329954,419
VW,Passat,2.0,Petrol,1989,337554,419
Toyota,Yaris,1.0,Petrol,1987,258678,419
Toyota,Prius,1.0,Hybrid,1990,326341,420
VW,Golf,1.8,Petrol,1990,315905,420
VW,Golf,2.0,Petrol,1988,307534,420
Ford,Fiesta,1.2,Petrol,1991,280628,421
Toyota,Yaris,1.2,Petrol,1990,289081,421
VW,Polo,1.0,Petrol,1986,237814,421
VW,Golf,1.2,Diesel,1994,327256,421
Ford,Focus,2.0,Petrol,1987,318219,422
VW,Polo,1.2,Diesel,1985,245418,422
Ford,Fiesta,1.2,Petrol,1992,287457,422
Ford,Fiesta,1.0,Petrol,1995,298766,422
VW,Polo,1.4,Petrol,1994,311954,423
VW,Polo,1.0,Petrol,1986,236857,424
Toyota,Prius,1.0,Hybrid,1990,325281,424
VW,Polo,2.0,Petrol,1993,323325,424
Ford,Mondeo,2.0,Diesel,1985,307823,424
Toyota,Yaris,1.0,Petrol,1985,242796,424
Ford,Fiesta,1.0,Petrol,1989,255806,424
Ford,Fiesta,1.2,Petrol,1985,236470,425
VW,Polo,2.0,Petrol,1991,309306,425
VW,Golf,2.0,Diesel,1988,311184,426
Ford,Fiesta,1.0,Petrol,1987,240754,427
Toyota,Prius,1.0,Hybrid,1987,303721,427
Ford,Fiesta,1.2,Petrol,1988,257778,427
VW,Polo,1.2,Diesel,1989,272824,427
VW,Golf,1.6,Petrol,1990,308022,427
Ford,Focus,1.6,Diesel,1988,317242,428
Ford,Fiesta,1.2,Petrol,1988,257384,428
VW,Polo,2.0,Petrol,1993,322395,428
Ford,Fiesta,1.4,Petrol,1993,301036,428
Ford,Fiesta,1.4,Petrol,1991,287138,428
VW,Polo,1.6,Petrol,1985,254129,428
Ford,Fiesta,1.0,Petrol,1987,240349,428
Ford,Mondeo,1.4,Diesel,1985,288234,428
Ford,Mondeo,1.8,Diesel,1990,335802,429
BMW,Z4,3.0,Petrol,1986,340947,429
VW,Golf,2.0,Diesel,1991,331148,429
VW,Polo,1.2,Petrol,1989,267147,429
VW,Polo,1.2,Petrol,1989,267249,429
Ford,Fiesta,1.0,Diesel,1992,280920,430
VW,Polo,1.2,Petrol,1988,259868,430
Toyota,Prius,1.4,Hybrid,1985,306583,430
Porsche,718 Cayman,4.0,Petrol,1987,381857,430
VW,Golf,2.0,Hybrid,1987,316977,430
Ford,Fiesta,1.2,Petrol,1988,257089,430
VW,Passat,1.4,Diesel,1985,293331,431
Toyota,Yaris,1.0,Petrol,1989,269871,431
VW,Golf,1.4,Petrol,1984,257469,431
Ford,Mondeo,1.4,Petrol,1986,289187,432
VW,Passat,2.0,Diesel,1987,325354,433
Toyota,Prius,1.0,Hybrid,1985,288203,433
VW,Polo,1.0,Petrol,1989,256380,433
Toyota,Yaris,1.0,Hybrid,1992,309608,433
Ford,Fiesta,1.0,Hybrid,1991,287300,433
Toyota,Yaris,1.4,Hybrid,1990,313238,433
Ford,Fiesta,1.2,Petrol,1991,277445,434
VW,Polo,1.6,Petrol,1989,281063,435
VW,Polo,1.4,Petrol,1987,259775,435
Ford,Mondeo,1.4,Diesel,1986,293244,436
VW,Passat,1.6,Diesel,1987,313094,436
Ford,Focus,1.0,Petrol,1985,263971,437
Ford,Focus,1.8,Petrol,1991,336739,437
Toyota,RAV4,1.8,Hybrid,1987,348331,438
VW,Polo,1.2,Petrol,1986,243484,438
VW,Polo,1.6,Petrol,1988,273139,438
Toyota,Yaris,1.2,Petrol,1985,249347,438
Ford,Fiesta,1.0,Petrol,1989,252460,438
Ford,Focus,2.0,Diesel,1986,312401,438
VW,Golf,1.2,Petrol,1994,318153,438
Ford,Fiesta,1.2,Petrol,1988,255054,438
Toyota,Yaris,1.2,Petrol,1986,256473,438
VW,Golf,1.4,Diesel,1991,310363,438
Ford,Fiesta,1.0,Hybrid,1986,250169,439
VW,Polo,1.0,Petrol,1991,269322,439
VW,Golf,1.4,Petrol,1990,298037,439
Ford,Mondeo,1.4,Diesel,1984,278457,439
Toyota,Yaris,1.4,Hybrid,1984,269367,440
Toyota,Yaris,1.4,Petrol,1991,299554,440
Toyota,Prius,1.0,Hybrid,1987,300337,441
